unit,s_adj,indic,geo,time,values,name
PC_ACT,SA,LM-UN-T-GT25,SE,2017-02,5.2,Sweden
PC_ACT,SA,LM-UN-T-LE25,FI,2017-02,20.2,Finland
PC_ACT,SA,LM-UN-T-LE25,IE,2017-02,14.5,Ireland
PC_ACT,SA,LM-UN-T-LE25,NL,2017-02,9.7,Netherlands
PC_ACT,SA,LM-UN-T-LE25,SE,2017-02,18.5,Sweden
PC_ACT,SA,LM-UN-T-TOT,FI,2017-02,8.7,Finland
PC_ACT,SA,LM-UN-T-TOT,IE,2017-02,6.6,Ireland
PC_ACT,SA,LM-UN-T-TOT,NL,2017-02,5.3,Netherlands
PC_ACT,SA,LM-UN-T-TOT,SE,2017-02,6.8,Sweden
PC_ACT,NSA,LM-UN-F-GT25,AT,2017-01,4.7,Austria
PC_ACT,NSA,LM-UN-F-GT25,BE,2017-01,6.9,Belgium
PC_ACT,NSA,LM-UN-F-GT25,BG,2017-01,6.2,Bulgaria
PC_ACT,NSA,LM-UN-F-GT25,CY,2017-01,12.5,Cyprus
PC_ACT,NSA,LM-UN-F-GT25,CZ,2017-01,3.8,Czech Republic
PC_ACT,NSA,LM-UN-F-GT25,DE,2017-01,3.2,Germany
PC_ACT,NSA,LM-UN-F-GT25,DK,2017-01,5.3,Denmark
PC_ACT,NSA,LM-UN-F-GT25,ES,2017-01,18.9,Spain
PC_ACT,NSA,LM-UN-F-GT25,FI,2017-01,7.5,Finland
PC_ACT,NSA,LM-UN-F-GT25,FR,2017-01,9.2,France
PC_ACT,NSA,LM-UN-F-GT25,HR,2017-01,11.8,Croatia
PC_ACT,NSA,LM-UN-F-GT25,IE,2017-01,5.1,Ireland
PC_ACT,NSA,LM-UN-F-GT25,LT,2017-01,6.7,Lithuania
PC_ACT,NSA,LM-UN-F-GT25,LU,2017-01,5.5,Luxembourg
PC_ACT,NSA,LM-UN-F-GT25,LV,2017-01,7.9,Latvia
PC_ACT,NSA,LM-UN-F-GT25,MT,2017-01,3.7,Malta
PC_ACT,NSA,LM-UN-F-GT25,NL,2017-01,5.5,Netherlands
PC_ACT,NSA,LM-UN-F-GT25,PL,2017-01,5,Poland
PC_ACT,NSA,LM-UN-F-GT25,PT,2017-01,9.6,Portugal
PC_ACT,NSA,LM-UN-F-GT25,RO,2017-01,3.9,Romania
PC_ACT,NSA,LM-UN-F-GT25,SE,2017-01,5.5,Sweden
PC_ACT,NSA,LM-UN-F-GT25,SI,2017-01,7.7,Slovenia
PC_ACT,NSA,LM-UN-F-GT25,SK,2017-01,8.5,Slovakia
PC_ACT,NSA,LM-UN-F-LE25,AT,2017-01,7.2,Austria
PC_ACT,NSA,LM-UN-F-LE25,BG,2017-01,24.1,Bulgaria
PC_ACT,NSA,LM-UN-F-LE25,CZ,2017-01,9.1,Czech Republic
PC_ACT,NSA,LM-UN-F-LE25,DE,2017-01,5.3,Germany
PC_ACT,NSA,LM-UN-F-LE25,ES,2017-01,41.6,Spain
PC_ACT,NSA,LM-UN-F-LE25,FI,2017-01,24,Finland
PC_ACT,NSA,LM-UN-F-LE25,FR,2017-01,22.7,France
PC_ACT,NSA,LM-UN-F-LE25,IE,2017-01,12.1,Ireland
PC_ACT,NSA,LM-UN-F-LE25,LT,2017-01,12.4,Lithuania
PC_ACT,NSA,LM-UN-F-LE25,LU,2017-01,22.5,Luxembourg
PC_ACT,NSA,LM-UN-F-LE25,LV,2017-01,13.9,Latvia
PC_ACT,NSA,LM-UN-F-LE25,MT,2017-01,8.2,Malta
PC_ACT,NSA,LM-UN-F-LE25,NL,2017-01,10.4,Netherlands
PC_ACT,NSA,LM-UN-F-LE25,PL,2017-01,15.5,Poland
PC_ACT,NSA,LM-UN-F-LE25,PT,2017-01,26.1,Portugal
PC_ACT,NSA,LM-UN-F-LE25,SE,2017-01,17.3,Sweden
PC_ACT,NSA,LM-UN-F-LE25,SK,2017-01,25.3,Slovakia
PC_ACT,NSA,LM-UN-F-TOT,AT,2017-01,5,Austria
PC_ACT,NSA,LM-UN-F-TOT,BE,2017-01,7.8,Belgium
PC_ACT,NSA,LM-UN-F-TOT,BG,2017-01,6.9,Bulgaria
PC_ACT,NSA,LM-UN-F-TOT,CY,2017-01,15.1,Cyprus
PC_ACT,NSA,LM-UN-F-TOT,CZ,2017-01,4.1,Czech Republic
PC_ACT,NSA,LM-UN-F-TOT,DE,2017-01,3.4,Germany
PC_ACT,NSA,LM-UN-F-TOT,DK,2017-01,6.5,Denmark
PC_ACT,NSA,LM-UN-F-TOT,ES,2017-01,20.2,Spain
PC_ACT,NSA,LM-UN-F-TOT,FI,2017-01,9.4,Finland
PC_ACT,NSA,LM-UN-F-TOT,FR,2017-01,10.4,France
PC_ACT,NSA,LM-UN-F-TOT,HR,2017-01,12.9,Croatia
PC_ACT,NSA,LM-UN-F-TOT,IE,2017-01,5.8,Ireland
PC_ACT,NSA,LM-UN-F-TOT,IT,2017-01,13.6,Italy
PC_ACT,NSA,LM-UN-F-TOT,LT,2017-01,7.1,Lithuania
PC_ACT,NSA,LM-UN-F-TOT,LU,2017-01,6.7,Luxembourg
PC_ACT,NSA,LM-UN-F-TOT,LV,2017-01,8.3,Latvia
PC_ACT,NSA,LM-UN-F-TOT,MT,2017-01,4.4,Malta
PC_ACT,NSA,LM-UN-F-TOT,NL,2017-01,6.3,Netherlands
PC_ACT,NSA,LM-UN-F-TOT,PL,2017-01,5.8,Poland
PC_ACT,NSA,LM-UN-F-TOT,PT,2017-01,10.8,Portugal
PC_ACT,NSA,LM-UN-F-TOT,RO,2017-01,4.9,Romania
PC_ACT,NSA,LM-UN-F-TOT,SE,2017-01,6.9,Sweden
PC_ACT,NSA,LM-UN-F-TOT,SI,2017-01,8.6,Slovenia
PC_ACT,NSA,LM-UN-F-TOT,SK,2017-01,9.5,Slovakia
PC_ACT,NSA,LM-UN-M-GT25,AT,2017-01,5.2,Austria
PC_ACT,NSA,LM-UN-M-GT25,BE,2017-01,6.9,Belgium
PC_ACT,NSA,LM-UN-M-GT25,BG,2017-01,7.4,Bulgaria
PC_ACT,NSA,LM-UN-M-GT25,CY,2017-01,13.4,Cyprus
PC_ACT,NSA,LM-UN-M-GT25,CZ,2017-01,2.7,Czech Republic
PC_ACT,NSA,LM-UN-M-GT25,DE,2017-01,4.2,Germany
PC_ACT,NSA,LM-UN-M-GT25,DK,2017-01,5.3,Denmark
PC_ACT,NSA,LM-UN-M-GT25,ES,2017-01,15.5,Spain
PC_ACT,NSA,LM-UN-M-GT25,FI,2017-01,7.6,Finland
PC_ACT,NSA,LM-UN-M-GT25,FR,2017-01,9.3,France
PC_ACT,NSA,LM-UN-M-GT25,HR,2017-01,9.4,Croatia
PC_ACT,NSA,LM-UN-M-GT25,IE,2017-01,6.4,Ireland
PC_ACT,NSA,LM-UN-M-GT25,LT,2017-01,9.5,Lithuania
PC_ACT,NSA,LM-UN-M-GT25,LU,2017-01,5,Luxembourg
PC_ACT,NSA,LM-UN-M-GT25,LV,2017-01,10.9,Latvia
PC_ACT,NSA,LM-UN-M-GT25,MT,2017-01,3.1,Malta
PC_ACT,NSA,LM-UN-M-GT25,NL,2017-01,4.2,Netherlands
PC_ACT,NSA,LM-UN-M-GT25,PL,2017-01,5,Poland
PC_ACT,NSA,LM-UN-M-GT25,PT,2017-01,8.9,Portugal
PC_ACT,NSA,LM-UN-M-GT25,RO,2017-01,5,Romania
PC_ACT,NSA,LM-UN-M-GT25,SE,2017-01,6.2,Sweden
PC_ACT,NSA,LM-UN-M-GT25,SI,2017-01,7,Slovenia
PC_ACT,NSA,LM-UN-M-GT25,SK,2017-01,7.3,Slovakia
PC_ACT,NSA,LM-UN-M-LE25,AT,2017-01,14,Austria
PC_ACT,NSA,LM-UN-M-LE25,BG,2017-01,26.1,Bulgaria
PC_ACT,NSA,LM-UN-M-LE25,CZ,2017-01,7.6,Czech Republic
PC_ACT,NSA,LM-UN-M-LE25,DE,2017-01,7.8,Germany
PC_ACT,NSA,LM-UN-M-LE25,ES,2017-01,41.5,Spain
PC_ACT,NSA,LM-UN-M-LE25,FI,2017-01,22.9,Finland
PC_ACT,NSA,LM-UN-M-LE25,FR,2017-01,26.4,France
PC_ACT,NSA,LM-UN-M-LE25,IE,2017-01,16.7,Ireland
PC_ACT,NSA,LM-UN-M-LE25,LT,2017-01,19.1,Lithuania
PC_ACT,NSA,LM-UN-M-LE25,LU,2017-01,30.1,Luxembourg
PC_ACT,NSA,LM-UN-M-LE25,LV,2017-01,20.4,Latvia
PC_ACT,NSA,LM-UN-M-LE25,MT,2017-01,12.7,Malta
PC_ACT,NSA,LM-UN-M-LE25,NL,2017-01,10.7,Netherlands
PC_ACT,NSA,LM-UN-M-LE25,PL,2017-01,15.9,Poland
PC_ACT,NSA,LM-UN-M-LE25,PT,2017-01,26.3,Portugal
PC_ACT,NSA,LM-UN-M-LE25,SE,2017-01,19.9,Sweden
PC_ACT,NSA,LM-UN-M-LE25,SK,2017-01,17.7,Slovakia
PC_ACT,NSA,LM-UN-M-TOT,AT,2017-01,6.3,Austria
PC_ACT,NSA,LM-UN-M-TOT,BE,2017-01,8.1,Belgium
PC_ACT,NSA,LM-UN-M-TOT,BG,2017-01,8.3,Bulgaria
PC_ACT,NSA,LM-UN-M-TOT,CY,2017-01,15.2,Cyprus
PC_ACT,NSA,LM-UN-M-TOT,CZ,2017-01,3.1,Czech Republic
PC_ACT,NSA,LM-UN-M-TOT,DE,2017-01,4.5,Germany
PC_ACT,NSA,LM-UN-M-TOT,DK,2017-01,6.2,Denmark
PC_ACT,NSA,LM-UN-M-TOT,ES,2017-01,17.1,Spain
PC_ACT,NSA,LM-UN-M-TOT,FI,2017-01,9,Finland
PC_ACT,NSA,LM-UN-M-TOT,FR,2017-01,11,France
PC_ACT,NSA,LM-UN-M-TOT,HR,2017-01,11.9,Croatia
PC_ACT,NSA,LM-UN-M-TOT,IE,2017-01,7.3,Ireland
PC_ACT,NSA,LM-UN-M-TOT,IT,2017-01,11.2,Italy
PC_ACT,NSA,LM-UN-M-TOT,LT,2017-01,10.4,Lithuania
PC_ACT,NSA,LM-UN-M-TOT,LU,2017-01,6.2,Luxembourg
PC_ACT,NSA,LM-UN-M-TOT,LV,2017-01,11.6,Latvia
PC_ACT,NSA,LM-UN-M-TOT,MT,2017-01,4.3,Malta
PC_ACT,NSA,LM-UN-M-TOT,NL,2017-01,5.1,Netherlands
PC_ACT,NSA,LM-UN-M-TOT,PL,2017-01,5.9,Poland
PC_ACT,NSA,LM-UN-M-TOT,PT,2017-01,10.2,Portugal
PC_ACT,NSA,LM-UN-M-TOT,RO,2017-01,6.1,Romania
PC_ACT,NSA,LM-UN-M-TOT,SE,2017-01,7.7,Sweden
PC_ACT,NSA,LM-UN-M-TOT,SI,2017-01,7.8,Slovenia
PC_ACT,NSA,LM-UN-M-TOT,SK,2017-01,8.2,Slovakia
PC_ACT,NSA,LM-UN-T-GT25,AT,2017-01,5,Austria
PC_ACT,NSA,LM-UN-T-GT25,BE,2017-01,6.9,Belgium
PC_ACT,NSA,LM-UN-T-GT25,BG,2017-01,6.8,Bulgaria
PC_ACT,NSA,LM-UN-T-GT25,CY,2017-01,13,Cyprus
PC_ACT,NSA,LM-UN-T-GT25,CZ,2017-01,3.2,Czech Republic
PC_ACT,NSA,LM-UN-T-GT25,DE,2017-01,3.7,Germany
PC_ACT,NSA,LM-UN-T-GT25,DK,2017-01,5.3,Denmark
PC_ACT,NSA,LM-UN-T-GT25,ES,2017-01,17.1,Spain
PC_ACT,NSA,LM-UN-T-GT25,FI,2017-01,7.6,Finland
PC_ACT,NSA,LM-UN-T-GT25,FR,2017-01,9.3,France
PC_ACT,NSA,LM-UN-T-GT25,HR,2017-01,10.5,Croatia
PC_ACT,NSA,LM-UN-T-GT25,IE,2017-01,5.8,Ireland
PC_ACT,NSA,LM-UN-T-GT25,LT,2017-01,8.1,Lithuania
PC_ACT,NSA,LM-UN-T-GT25,LU,2017-01,5.2,Luxembourg
PC_ACT,NSA,LM-UN-T-GT25,LV,2017-01,9.4,Latvia
PC_ACT,NSA,LM-UN-T-GT25,MT,2017-01,3.3,Malta
PC_ACT,NSA,LM-UN-T-GT25,NL,2017-01,4.8,Netherlands
PC_ACT,NSA,LM-UN-T-GT25,PL,2017-01,5,Poland
PC_ACT,NSA,LM-UN-T-GT25,PT,2017-01,9.2,Portugal
PC_ACT,NSA,LM-UN-T-GT25,RO,2017-01,4.5,Romania
PC_ACT,NSA,LM-UN-T-GT25,SE,2017-01,5.9,Sweden
PC_ACT,NSA,LM-UN-T-GT25,SI,2017-01,7.3,Slovenia
PC_ACT,NSA,LM-UN-T-GT25,SK,2017-01,7.9,Slovakia
PC_ACT,NSA,LM-UN-T-LE25,AT,2017-01,10.8,Austria
PC_ACT,NSA,LM-UN-T-LE25,BG,2017-01,25.3,Bulgaria
PC_ACT,NSA,LM-UN-T-LE25,CZ,2017-01,8.3,Czech Republic
PC_ACT,NSA,LM-UN-T-LE25,DE,2017-01,6.7,Germany
PC_ACT,NSA,LM-UN-T-LE25,DK,2017-01,12.2,Denmark
PC_ACT,NSA,LM-UN-T-LE25,ES,2017-01,41.5,Spain
PC_ACT,NSA,LM-UN-T-LE25,FI,2017-01,23.5,Finland
PC_ACT,NSA,LM-UN-T-LE25,FR,2017-01,24.8,France
PC_ACT,NSA,LM-UN-T-LE25,IE,2017-01,14.5,Ireland
PC_ACT,NSA,LM-UN-T-LE25,IT,2017-01,40.6,Italy
PC_ACT,NSA,LM-UN-T-LE25,LT,2017-01,16.2,Lithuania
PC_ACT,NSA,LM-UN-T-LE25,LU,2017-01,25.9,Luxembourg
PC_ACT,NSA,LM-UN-T-LE25,LV,2017-01,17.2,Latvia
PC_ACT,NSA,LM-UN-T-LE25,MT,2017-01,10.6,Malta
PC_ACT,NSA,LM-UN-T-LE25,NL,2017-01,10.6,Netherlands
PC_ACT,NSA,LM-UN-T-LE25,PL,2017-01,15.7,Poland
PC_ACT,NSA,LM-UN-T-LE25,PT,2017-01,26.2,Portugal
PC_ACT,NSA,LM-UN-T-LE25,SE,2017-01,18.6,Sweden
PC_ACT,NSA,LM-UN-T-LE25,SK,2017-01,20.4,Slovakia
PC_ACT,NSA,LM-UN-T-TOT,AT,2017-01,5.7,Austria
PC_ACT,NSA,LM-UN-T-TOT,BE,2017-01,7.9,Belgium
PC_ACT,NSA,LM-UN-T-TOT,BG,2017-01,7.7,Bulgaria
PC_ACT,NSA,LM-UN-T-TOT,CY,2017-01,15.1,Cyprus
PC_ACT,NSA,LM-UN-T-TOT,CZ,2017-01,3.5,Czech Republic
PC_ACT,NSA,LM-UN-T-TOT,DE,2017-01,4,Germany
PC_ACT,NSA,LM-UN-T-TOT,DK,2017-01,6.4,Denmark
PC_ACT,NSA,LM-UN-T-TOT,ES,2017-01,18.6,Spain
PC_ACT,NSA,LM-UN-T-TOT,FI,2017-01,9.2,Finland
PC_ACT,NSA,LM-UN-T-TOT,FR,2017-01,10.7,France
PC_ACT,NSA,LM-UN-T-TOT,HR,2017-01,12.4,Croatia
PC_ACT,NSA,LM-UN-T-TOT,IE,2017-01,6.6,Ireland
PC_ACT,NSA,LM-UN-T-TOT,IT,2017-01,12.2,Italy
PC_ACT,NSA,LM-UN-T-TOT,LT,2017-01,8.7,Lithuania
PC_ACT,NSA,LM-UN-T-TOT,LU,2017-01,6.4,Luxembourg
PC_ACT,NSA,LM-UN-T-TOT,LV,2017-01,9.9,Latvia
PC_ACT,NSA,LM-UN-T-TOT,MT,2017-01,4.3,Malta
PC_ACT,NSA,LM-UN-T-TOT,NL,2017-01,5.7,Netherlands
PC_ACT,NSA,LM-UN-T-TOT,PL,2017-01,5.8,Poland
PC_ACT,NSA,LM-UN-T-TOT,PT,2017-01,10.5,Portugal
PC_ACT,NSA,LM-UN-T-TOT,RO,2017-01,5.6,Romania
PC_ACT,NSA,LM-UN-T-TOT,SE,2017-01,7.3,Sweden
PC_ACT,NSA,LM-UN-T-TOT,SI,2017-01,8.2,Slovenia
PC_ACT,NSA,LM-UN-T-TOT,SK,2017-01,8.8,Slovakia
PC_ACT,SA,LM-UN-F-GT25,AT,2017-01,4.6,Austria
PC_ACT,SA,LM-UN-F-GT25,BE,2017-01,6.7,Belgium
PC_ACT,SA,LM-UN-F-GT25,BG,2017-01,5.9,Bulgaria
PC_ACT,SA,LM-UN-F-GT25,CY,2017-01,11.5,Cyprus
PC_ACT,SA,LM-UN-F-GT25,CZ,2017-01,3.8,Czech Republic
PC_ACT,SA,LM-UN-F-GT25,DE,2017-01,3,Germany
PC_ACT,SA,LM-UN-F-GT25,DK,2017-01,5.3,Denmark
PC_ACT,SA,LM-UN-F-GT25,ES,2017-01,18.4,Spain
PC_ACT,SA,LM-UN-F-GT25,FI,2017-01,7,Finland
PC_ACT,SA,LM-UN-F-GT25,FR,2017-01,8.7,France
PC_ACT,SA,LM-UN-F-GT25,HR,2017-01,10.7,Croatia
PC_ACT,SA,LM-UN-F-GT25,IE,2017-01,5.2,Ireland
PC_ACT,SA,LM-UN-F-GT25,LT,2017-01,6.3,Lithuania
PC_ACT,SA,LM-UN-F-GT25,LU,2017-01,5.5,Luxembourg
PC_ACT,SA,LM-UN-F-GT25,LV,2017-01,7.6,Latvia
PC_ACT,SA,LM-UN-F-GT25,MT,2017-01,3.4,Malta
PC_ACT,SA,LM-UN-F-GT25,NL,2017-01,5.1,Netherlands
PC_ACT,SA,LM-UN-F-GT25,PL,2017-01,4.8,Poland
PC_ACT,SA,LM-UN-F-GT25,PT,2017-01,9.4,Portugal
PC_ACT,SA,LM-UN-F-GT25,RO,2017-01,3.7,Romania
PC_ACT,SA,LM-UN-F-GT25,SE,2017-01,5,Sweden
PC_ACT,SA,LM-UN-F-GT25,SI,2017-01,7.2,Slovenia
PC_ACT,SA,LM-UN-F-GT25,SK,2017-01,8.4,Slovakia
PC_ACT,SA,LM-UN-F-LE25,AT,2017-01,9,Austria
PC_ACT,SA,LM-UN-F-LE25,BG,2017-01,21.7,Bulgaria
PC_ACT,SA,LM-UN-F-LE25,CZ,2017-01,10.1,Czech Republic
PC_ACT,SA,LM-UN-F-LE25,DE,2017-01,5.5,Germany
PC_ACT,SA,LM-UN-F-LE25,ES,2017-01,42.3,Spain
PC_ACT,SA,LM-UN-F-LE25,FI,2017-01,19.4,Finland
PC_ACT,SA,LM-UN-F-LE25,FR,2017-01,22.5,France
PC_ACT,SA,LM-UN-F-LE25,IE,2017-01,13.4,Ireland
PC_ACT,SA,LM-UN-F-LE25,LT,2017-01,12.2,Lithuania
PC_ACT,SA,LM-UN-F-LE25,LU,2017-01,17.5,Luxembourg
PC_ACT,SA,LM-UN-F-LE25,LV,2017-01,13.9,Latvia
PC_ACT,SA,LM-UN-F-LE25,MT,2017-01,10.7,Malta
PC_ACT,SA,LM-UN-F-LE25,NL,2017-01,9.9,Netherlands
PC_ACT,SA,LM-UN-F-LE25,PL,2017-01,14.3,Poland
PC_ACT,SA,LM-UN-F-LE25,PT,2017-01,25.9,Portugal
PC_ACT,SA,LM-UN-F-LE25,SE,2017-01,16.2,Sweden
PC_ACT,SA,LM-UN-F-LE25,SK,2017-01,25.6,Slovakia
PC_ACT,SA,LM-UN-F-TOT,AT,2017-01,5.2,Austria
PC_ACT,SA,LM-UN-F-TOT,BE,2017-01,7.6,Belgium
PC_ACT,SA,LM-UN-F-TOT,BG,2017-01,6.5,Bulgaria
PC_ACT,SA,LM-UN-F-TOT,CY,2017-01,14.3,Cyprus
PC_ACT,SA,LM-UN-F-TOT,CZ,2017-01,4.1,Czech Republic
PC_ACT,SA,LM-UN-F-TOT,DE,2017-01,3.3,Germany
PC_ACT,SA,LM-UN-F-TOT,DK,2017-01,6.5,Denmark
PC_ACT,SA,LM-UN-F-TOT,ES,2017-01,19.9,Spain
PC_ACT,SA,LM-UN-F-TOT,FI,2017-01,8.6,Finland
PC_ACT,SA,LM-UN-F-TOT,FR,2017-01,9.9,France
PC_ACT,SA,LM-UN-F-TOT,HR,2017-01,11.8,Croatia
PC_ACT,SA,LM-UN-F-TOT,IE,2017-01,6,Ireland
PC_ACT,SA,LM-UN-F-TOT,IT,2017-01,13.3,Italy
PC_ACT,SA,LM-UN-F-TOT,LT,2017-01,6.7,Lithuania
PC_ACT,SA,LM-UN-F-TOT,LU,2017-01,6.5,Luxembourg
PC_ACT,SA,LM-UN-F-TOT,LV,2017-01,8,Latvia
PC_ACT,SA,LM-UN-F-TOT,MT,2017-01,4.5,Malta
PC_ACT,SA,LM-UN-F-TOT,NL,2017-01,5.9,Netherlands
PC_ACT,SA,LM-UN-F-TOT,PL,2017-01,5.5,Poland
PC_ACT,SA,LM-UN-F-TOT,PT,2017-01,10.5,Portugal
PC_ACT,SA,LM-UN-F-TOT,RO,2017-01,4.9,Romania
PC_ACT,SA,LM-UN-F-TOT,SE,2017-01,6.4,Sweden
PC_ACT,SA,LM-UN-F-TOT,SI,2017-01,8,Slovenia
PC_ACT,SA,LM-UN-F-TOT,SK,2017-01,9.4,Slovakia
PC_ACT,SA,LM-UN-M-GT25,AT,2017-01,5.4,Austria
PC_ACT,SA,LM-UN-M-GT25,BE,2017-01,6.6,Belgium
PC_ACT,SA,LM-UN-M-GT25,BG,2017-01,6.8,Bulgaria
PC_ACT,SA,LM-UN-M-GT25,CY,2017-01,12.3,Cyprus
PC_ACT,SA,LM-UN-M-GT25,CZ,2017-01,2.5,Czech Republic
PC_ACT,SA,LM-UN-M-GT25,DE,2017-01,3.9,Germany
PC_ACT,SA,LM-UN-M-GT25,DK,2017-01,4.8,Denmark
PC_ACT,SA,LM-UN-M-GT25,ES,2017-01,15,Spain
PC_ACT,SA,LM-UN-M-GT25,FI,2017-01,7.3,Finland
PC_ACT,SA,LM-UN-M-GT25,FR,2017-01,8.5,France
PC_ACT,SA,LM-UN-M-GT25,HR,2017-01,8.4,Croatia
PC_ACT,SA,LM-UN-M-GT25,IE,2017-01,6.4,Ireland
PC_ACT,SA,LM-UN-M-GT25,LT,2017-01,8.7,Lithuania
PC_ACT,SA,LM-UN-M-GT25,LU,2017-01,4.8,Luxembourg
PC_ACT,SA,LM-UN-M-GT25,LV,2017-01,10.4,Latvia
PC_ACT,SA,LM-UN-M-GT25,MT,2017-01,3.1,Malta
PC_ACT,SA,LM-UN-M-GT25,NL,2017-01,3.9,Netherlands
PC_ACT,SA,LM-UN-M-GT25,PL,2017-01,4.5,Poland
PC_ACT,SA,LM-UN-M-GT25,PT,2017-01,8.6,Portugal
PC_ACT,SA,LM-UN-M-GT25,RO,2017-01,4.8,Romania
PC_ACT,SA,LM-UN-M-GT25,SE,2017-01,5.5,Sweden
PC_ACT,SA,LM-UN-M-GT25,SI,2017-01,6.2,Slovenia
PC_ACT,SA,LM-UN-M-GT25,SK,2017-01,7,Slovakia
