"unit","iccs","geo","time","values"
"Number","Intentional homicide","Pleven",2010-01-01,8
"Number","Intentional homicide","Lovech",2010-01-01,10
"Number","Intentional homicide","Severen tsentralen",2010-01-01,16
"Number","Intentional homicide","Veliko Tarnovo",2010-01-01,2
"Number","Intentional homicide","Gabrovo",2010-01-01,5
"Number","Intentional homicide","Ruse",2010-01-01,7
"Number","Intentional homicide","Razgrad",2010-01-01,2
"Number","Intentional homicide","Silistra",2010-01-01,0
"Number","Intentional homicide","Severoiztochen",2010-01-01,18
"Number","Intentional homicide","Varna",2010-01-01,7
"Number","Intentional homicide","Dobrich",2010-01-01,3
"Number","Intentional homicide","Shumen",2010-01-01,1
"Number","Intentional homicide","Targovishte",2010-01-01,7
"Number","Intentional homicide","Yugoiztochen",2010-01-01,31
"Number","Intentional homicide","Burgas",2010-01-01,9
"Number","Intentional homicide","Sliven",2010-01-01,9
"Number","Intentional homicide","Yambol",2010-01-01,5
"Number","Intentional homicide","Stara Zagora",2010-01-01,8
"Number","Intentional homicide","Yugozapadna i yuzhna tsentralna Bulgaria",2010-01-01,54
"Number","Intentional homicide","Yugozapaden",2010-01-01,35
"Number","Intentional homicide","Sofia (stolitsa)",2010-01-01,19
"Number","Intentional homicide","Sofia",2010-01-01,9
"Number","Intentional homicide","Blagoevgrad",2010-01-01,2
"Number","Intentional homicide","Pernik",2010-01-01,2
"Number","Intentional homicide","Kyustendil",2010-01-01,3
"Number","Intentional homicide","Yuzhen tsentralen",2010-01-01,19
"Number","Intentional homicide","Plovdiv",2010-01-01,8
"Number","Intentional homicide","Haskovo",2010-01-01,5
"Number","Intentional homicide","Pazardzhik",2010-01-01,5
"Number","Intentional homicide","Smolyan",2010-01-01,0
"Number","Intentional homicide","Kardzhali",2010-01-01,1
"Number","Intentional homicide","Extra-Regio NUTS 1",2010-01-01,0
"Number","Intentional homicide","Extra-Regio NUTS 2",2010-01-01,0
"Number","Intentional homicide","Extra-Regio NUTS 3",2010-01-01,0
"Number","Intentional homicide","Switzerland",2010-01-01,53
"Number","Intentional homicide","Région lémanique",2010-01-01,10
"Number","Intentional homicide","Vaud",2010-01-01,3
"Number","Intentional homicide","Valais",2010-01-01,1
"Number","Intentional homicide","Genève",2010-01-01,6
"Number","Intentional homicide","Espace Mittelland",2010-01-01,9
"Number","Intentional homicide","Bern",2010-01-01,5
"Number","Intentional homicide","Freiburg",2010-01-01,1
"Number","Intentional homicide","Solothurn",2010-01-01,2
"Number","Intentional homicide","Neuchâtel",2010-01-01,1
"Number","Intentional homicide","Jura",2010-01-01,0
"Number","Intentional homicide","Nordwestschweiz",2010-01-01,6
"Number","Intentional homicide","Basel-Stadt",2010-01-01,3
"Number","Intentional homicide","Basel-Landschaft",2010-01-01,1
"Number","Intentional homicide","Aargau",2010-01-01,2
"Number","Intentional homicide","Zürich",2010-01-01,14
"Number","Intentional homicide","Zürich",2010-01-01,14
"Number","Intentional homicide","Ostschweiz",2010-01-01,8
"Number","Intentional homicide","Glarus",2010-01-01,0
"Number","Intentional homicide","Schaffhausen",2010-01-01,1
"Number","Intentional homicide","Appenzell Ausserrhoden",2010-01-01,0
"Number","Intentional homicide","Appenzell Innerrhoden",2010-01-01,0
"Number","Intentional homicide","St. Gallen",2010-01-01,3
"Number","Intentional homicide","Graubünden",2010-01-01,2
"Number","Intentional homicide","Thurgau",2010-01-01,2
"Number","Intentional homicide","Zentralschweiz",2010-01-01,3
"Number","Intentional homicide","Luzern",2010-01-01,0
"Number","Intentional homicide","Uri",2010-01-01,0
"Number","Intentional homicide","Schwyz",2010-01-01,2
"Number","Intentional homicide","Obwalden",2010-01-01,0
"Number","Intentional homicide","Nidwalden",2010-01-01,1
"Number","Intentional homicide","Zug",2010-01-01,0
"Number","Intentional homicide","Ticino",2010-01-01,2
"Number","Intentional homicide","Ticino",2010-01-01,2
"Number","Intentional homicide","Cyprus",2010-01-01,7
"Number","Intentional homicide","Czech Republic",2010-01-01,103
"Number","Intentional homicide","Ceská republika",2010-01-01,103
"Number","Intentional homicide","Praha",2010-01-01,16
"Number","Intentional homicide","Hlavní mesto Praha",2010-01-01,16
"Number","Intentional homicide","Strední Cechy",2010-01-01,9
"Number","Intentional homicide","Stredoceský kraj",2010-01-01,9
"Number","Intentional homicide","Jihozápad",2010-01-01,10
"Number","Intentional homicide","Jihocecký kraj",2010-01-01,5
"Number","Intentional homicide","Plzenský kraj",2010-01-01,5
"Number","Intentional homicide","Severozápad",2010-01-01,15
"Number","Intentional homicide","Karlovarský kraj",2010-01-01,8
"Number","Intentional homicide","Ústecký kraj",2010-01-01,7
"Number","Intentional homicide","Severovýchod",2010-01-01,13
"Number","Intentional homicide","Liberecký kraj",2010-01-01,2
"Number","Intentional homicide","Královéhradecký kraj",2010-01-01,3
"Number","Intentional homicide","Pardubický kraj",2010-01-01,8
"Number","Intentional homicide","Jihovýchod",2010-01-01,15
"Number","Intentional homicide","Kraj Vysocina",2010-01-01,6
"Number","Intentional homicide","Jihomoravský kraj",2010-01-01,9
"Number","Intentional homicide","Strední Morava",2010-01-01,13
"Number","Intentional homicide","Olomoucký kraj",2010-01-01,8
"Number","Intentional homicide","Zlínský kraj",2010-01-01,5
"Number","Intentional homicide","Moravskoslezsko",2010-01-01,12
"Number","Intentional homicide","Moravskoslezský kraj",2010-01-01,12
"Number","Intentional homicide","Germany (until 1990 former territory of the FRG)",2010-01-01,690
"Number","Intentional homicide","Baden-Württemberg",2010-01-01,72
"Number","Intentional homicide","Stuttgart, Stadtkreis",2010-01-01,6
"Number","Intentional homicide","Böblingen",2010-01-01,3
"Number","Intentional homicide","Esslingen",2010-01-01,0
"Number","Intentional homicide","Göppingen",2010-01-01,0
"Number","Intentional homicide","Ludwigsburg",2010-01-01,4
"Number","Intentional homicide","Rems-Murr-Kreis",2010-01-01,2
"Number","Intentional homicide","Heilbronn, Stadtkreis",2010-01-01,1
"Number","Intentional homicide","Heilbronn, Landkreis",2010-01-01,1
"Number","Intentional homicide","Hohenlohekreis",2010-01-01,1
"Number","Intentional homicide","Schwäbisch Hall",2010-01-01,3
"Number","Intentional homicide","Main-Tauber-Kreis",2010-01-01,1
"Number","Intentional homicide","Heidenheim",2010-01-01,2
"Number","Intentional homicide","Ostalbkreis",2010-01-01,4
"Number","Intentional homicide","Baden-Baden, Stadtkreis",2010-01-01,2
"Number","Intentional homicide","Karlsruhe, Stadtkreis",2010-01-01,3
"Number","Intentional homicide","Karlsruhe, Landkreis",2010-01-01,1
"Number","Intentional homicide","Rastatt",2010-01-01,0
"Number","Intentional homicide","Heidelberg, Stadtkreis",2010-01-01,1
"Number","Intentional homicide","Mannheim, Stadtkreis",2010-01-01,5
"Number","Intentional homicide","Neckar-Odenwald-Kreis",2010-01-01,3
"Number","Intentional homicide","Rhein-Neckar-Kreis",2010-01-01,3
"Number","Intentional homicide","Pforzheim, Stadtkreis",2010-01-01,1
"Number","Intentional homicide","Calw",2010-01-01,1
"Number","Intentional homicide","Enzkreis",2010-01-01,0
"Number","Intentional homicide","Freudenstadt",2010-01-01,0
"Number","Intentional homicide","Freiburg im Breisgau, Stadtkreis",2010-01-01,0
"Number","Intentional homicide","Breisgau-Hochschwarzwald",2010-01-01,1
"Number","Intentional homicide","Emmendingen",2010-01-01,1
"Number","Intentional homicide","Ortenaukreis",2010-01-01,1
"Number","Intentional homicide","Rottweil",2010-01-01,2
"Number","Intentional homicide","Schwarzwald-Baar-Kreis",2010-01-01,0
"Number","Intentional homicide","Tuttlingen",2010-01-01,4
"Number","Intentional homicide","Konstanz",2010-01-01,1
"Number","Intentional homicide","Lörrach",2010-01-01,2
"Number","Intentional homicide","Waldshut",2010-01-01,0
"Number","Intentional homicide","Reutlingen",2010-01-01,3
"Number","Intentional homicide","Tübingen, Landkreis",2010-01-01,2
"Number","Intentional homicide","Zollernalbkreis",2010-01-01,2
"Number","Intentional homicide","Ulm, Stadtkreis",2010-01-01,0
"Number","Intentional homicide","Alb-Donau-Kreis",2010-01-01,0
"Number","Intentional homicide","Biberach",2010-01-01,1
"Number","Intentional homicide","Bodenseekreis",2010-01-01,2
"Number","Intentional homicide","Ravensburg",2010-01-01,1
"Number","Intentional homicide","Sigmaringen",2010-01-01,1
"Number","Intentional homicide","Bayern",2010-01-01,74
"Number","Intentional homicide","Ingolstadt, Kreisfreie Stadt",2010-01-01,3
"Number","Intentional homicide","München, Kreisfreie Stadt",2010-01-01,9
"Number","Intentional homicide","Rosenheim, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Altötting",2010-01-01,0
"Number","Intentional homicide","Berchtesgadener Land",2010-01-01,0
"Number","Intentional homicide","Bad Tölz-Wolfratshausen",2010-01-01,0
"Number","Intentional homicide","Dachau",2010-01-01,0
"Number","Intentional homicide","Ebersberg",2010-01-01,2
"Number","Intentional homicide","Eichstätt",2010-01-01,0
"Number","Intentional homicide","Erding",2010-01-01,0
"Number","Intentional homicide","Freising",2010-01-01,1
"Number","Intentional homicide","Fürstenfeldbruck",2010-01-01,1
"Number","Intentional homicide","Garmisch-Partenkirchen",2010-01-01,0
"Number","Intentional homicide","Landsberg am Lech",2010-01-01,0
"Number","Intentional homicide","Miesbach",2010-01-01,1
"Number","Intentional homicide","Mühldorf am Inn",2010-01-01,0
"Number","Intentional homicide","München, Landkreis",2010-01-01,5
"Number","Intentional homicide","Neuburg-Schrobenhausen",2010-01-01,1
"Number","Intentional homicide","Pfaffenhofen an der Ilm",2010-01-01,1
"Number","Intentional homicide","Rosenheim, Landkreis",2010-01-01,3
"Number","Intentional homicide","Starnberg",2010-01-01,0
"Number","Intentional homicide","Traunstein",2010-01-01,1
"Number","Intentional homicide","Weilheim-Schongau",2010-01-01,1
"Number","Intentional homicide","Landshut, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Passau, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Straubing, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Deggendorf",2010-01-01,0
"Number","Intentional homicide","Freyung-Grafenau",2010-01-01,1
"Number","Intentional homicide","Kelheim",2010-01-01,2
"Number","Intentional homicide","Landshut, Landkreis",2010-01-01,0
"Number","Intentional homicide","Passau, Landkreis",2010-01-01,1
"Number","Intentional homicide","Regen",2010-01-01,2
"Number","Intentional homicide","Rottal-Inn",2010-01-01,0
"Number","Intentional homicide","Straubing-Bogen",2010-01-01,2
"Number","Intentional homicide","Dingolfing-Landau",2010-01-01,2
"Number","Intentional homicide","Amberg, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Regensburg, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Weiden in der Oberpfalz, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Amberg-Sulzbach",2010-01-01,0
"Number","Intentional homicide","Cham",2010-01-01,0
"Number","Intentional homicide","Neumarkt in der Oberpfalz",2010-01-01,0
"Number","Intentional homicide","Neustadt an der Waldnaab",2010-01-01,0
"Number","Intentional homicide","Regensburg, Landkreis",2010-01-01,1
"Number","Intentional homicide","Schwandorf",2010-01-01,0
"Number","Intentional homicide","Tirschenreuth",2010-01-01,0
"Number","Intentional homicide","Bamberg, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Bayreuth, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Coburg, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Hof, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Bamberg, Landkreis",2010-01-01,0
"Number","Intentional homicide","Bayreuth, Landkreis",2010-01-01,1
"Number","Intentional homicide","Coburg, Landkreis",2010-01-01,0
"Number","Intentional homicide","Forchheim",2010-01-01,2
"Number","Intentional homicide","Hof, Landkreis",2010-01-01,0
"Number","Intentional homicide","Kronach",2010-01-01,0
"Number","Intentional homicide","Kulmbach",2010-01-01,0
"Number","Intentional homicide","Lichtenfels",2010-01-01,0
"Number","Intentional homicide","Wunsiedel im Fichtelgebirge",2010-01-01,0
"Number","Intentional homicide","Ansbach, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Erlangen, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Fürth, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Nürnberg, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Schwabach, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Ansbach, Landkreis",2010-01-01,1
"Number","Intentional homicide","Erlangen-Höchstadt",2010-01-01,0
"Number","Intentional homicide","Fürth, Landkreis",2010-01-01,0
"Number","Intentional homicide","Nürnberger Land",2010-01-01,2
"Number","Intentional homicide","Neustadt an der Aisch-Bad Windsheim",2010-01-01,0
"Number","Intentional homicide","Roth",2010-01-01,0
"Number","Intentional homicide","Weißenburg-Gunzenhausen",2010-01-01,0
"Number","Intentional homicide","Aschaffenburg, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Schweinfurt, Kreisfreie Stadt",2010-01-01,3
"Number","Intentional homicide","Würzburg, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Aschaffenburg, Landkreis",2010-01-01,0
"Number","Intentional homicide","Bad Kissingen",2010-01-01,1
"Number","Intentional homicide","Rhön-Grabfeld",2010-01-01,0
"Number","Intentional homicide","Haßberge",2010-01-01,1
"Number","Intentional homicide","Kitzingen",2010-01-01,0
"Number","Intentional homicide","Miltenberg",2010-01-01,0
"Number","Intentional homicide","Main-Spessart",2010-01-01,1
"Number","Intentional homicide","Schweinfurt, Landkreis",2010-01-01,0
"Number","Intentional homicide","Würzburg, Landkreis",2010-01-01,0
"Number","Intentional homicide","Augsburg, Kreisfreie Stadt",2010-01-01,6
"Number","Intentional homicide","Kaufbeuren, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Kempten (Allgäu), Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Memmingen, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Aichach-Friedberg",2010-01-01,0
"Number","Intentional homicide","Augsburg, Landkreis",2010-01-01,0
"Number","Intentional homicide","Dillingen an der Donau",2010-01-01,1
"Number","Intentional homicide","Günzburg",2010-01-01,0
"Number","Intentional homicide","Neu-Ulm",2010-01-01,1
"Number","Intentional homicide","Lindau (Bodensee)",2010-01-01,0
"Number","Intentional homicide","Ostallgäu",2010-01-01,0
"Number","Intentional homicide","Unterallgäu",2010-01-01,0
"Number","Intentional homicide","Donau-Ries",2010-01-01,0
"Number","Intentional homicide","Oberallgäu",2010-01-01,2
"Number","Intentional homicide","Berlin",2010-01-01,41
"Number","Intentional homicide","Berlin",2010-01-01,41
"Number","Intentional homicide","Brandenburg",2010-01-01,40
"Number","Intentional homicide","Brandenburg an der Havel, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Cottbus, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Frankfurt (Oder), Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Potsdam, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Barnim",2010-01-01,10
"Number","Intentional homicide","Dahme-Spreewald",2010-01-01,6
"Number","Intentional homicide","Elbe-Elster",2010-01-01,1
"Number","Intentional homicide","Havelland",2010-01-01,4
"Number","Intentional homicide","Märkisch-Oderland",2010-01-01,1
"Number","Intentional homicide","Oberhavel",2010-01-01,8
"Number","Intentional homicide","Oberspreewald-Lausitz",2010-01-01,4
"Number","Intentional homicide","Oder-Spree",2010-01-01,0
"Number","Intentional homicide","Ostprignitz-Ruppin",2010-01-01,0
"Number","Intentional homicide","Potsdam-Mittelmark",2010-01-01,0
"Number","Intentional homicide","Prignitz",2010-01-01,0
"Number","Intentional homicide","Spree-Neiße",2010-01-01,2
"Number","Intentional homicide","Teltow-Fläming",2010-01-01,0
"Number","Intentional homicide","Uckermark",2010-01-01,1
"Number","Intentional homicide","Bremen",2010-01-01,10
"Number","Intentional homicide","Bremen, Kreisfreie Stadt",2010-01-01,9
"Number","Intentional homicide","Bremerhaven, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Hamburg",2010-01-01,18
"Number","Intentional homicide","Hamburg",2010-01-01,18
"Number","Intentional homicide","Hessen",2010-01-01,61
"Number","Intentional homicide","Darmstadt, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Frankfurt am Main, Kreisfreie Stadt",2010-01-01,13
"Number","Intentional homicide","Offenbach am Main, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Wiesbaden, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Bergstraße",2010-01-01,1
"Number","Intentional homicide","Darmstadt-Dieburg",2010-01-01,2
"Number","Intentional homicide","Groß-Gerau",2010-01-01,3
"Number","Intentional homicide","Hochtaunuskreis",2010-01-01,1
"Number","Intentional homicide","Main-Kinzig-Kreis",2010-01-01,4
"Number","Intentional homicide","Main-Taunus-Kreis",2010-01-01,0
"Number","Intentional homicide","Odenwaldkreis",2010-01-01,2
"Number","Intentional homicide","Offenbach, Landkreis",2010-01-01,1
"Number","Intentional homicide","Rheingau-Taunus-Kreis",2010-01-01,0
"Number","Intentional homicide","Wetteraukreis",2010-01-01,1
"Number","Intentional homicide","Gießen, Landkreis",2010-01-01,4
"Number","Intentional homicide","Lahn-Dill-Kreis",2010-01-01,5
"Number","Intentional homicide","Limburg-Weilburg",2010-01-01,2
"Number","Intentional homicide","Marburg-Biedenkopf",2010-01-01,3
"Number","Intentional homicide","Vogelsbergkreis",2010-01-01,0
"Number","Intentional homicide","Kassel, Kreisfreie Stadt",2010-01-01,5
"Number","Intentional homicide","Fulda",2010-01-01,0
"Number","Intentional homicide","Hersfeld-Rotenburg",2010-01-01,3
"Number","Intentional homicide","Kassel, Landkreis",2010-01-01,2
"Number","Intentional homicide","Schwalm-Eder-Kreis",2010-01-01,2
"Number","Intentional homicide","Waldeck-Frankenberg",2010-01-01,2
"Number","Intentional homicide","Werra-Meißner-Kreis",2010-01-01,0
"Number","Intentional homicide","Mecklenburg-Vorpommern",2010-01-01,10
"Number","Intentional homicide","Greifswald, Kreisfreie Stadt (NUTS 2010)",2010-01-01,1
"Number","Intentional homicide","Neubrandenburg, Kreisfreie Stadt (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Rostock, Kreisfreie Stadt",2010-01-01,3
"Number","Intentional homicide","Schwerin, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Stralsund, Kreisfreie Stadt (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Wismar, Kreisfreie Stadt (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Bad Doberan (NUTS 2010)",2010-01-01,1
"Number","Intentional homicide","Demmin (NUTS 2010)",2010-01-01,1
"Number","Intentional homicide","Güstrow (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Ludwigslust (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Mecklenburg-Strelitz (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Müritz (NUTS 2010)",2010-01-01,1
"Number","Intentional homicide","Nordvorpommern (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Nordwestmecklenburg (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Ostvorpommern (NUTS 2010)",2010-01-01,1
"Number","Intentional homicide","Parchim (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Rügen (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Uecker-Randow (NUTS 2010)",2010-01-01,0
"Number","Intentional homicide","Niedersachsen",2010-01-01,78
"Number","Intentional homicide","Braunschweig, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Salzgitter, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Wolfsburg, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Gifhorn",2010-01-01,3
"Number","Intentional homicide","Göttingen",2010-01-01,2
"Number","Intentional homicide","Goslar",2010-01-01,0
"Number","Intentional homicide","Helmstedt",2010-01-01,1
"Number","Intentional homicide","Northeim",2010-01-01,0
"Number","Intentional homicide","Osterode am Harz",2010-01-01,0
"Number","Intentional homicide","Peine",2010-01-01,1
"Number","Intentional homicide","Wolfenbüttel",2010-01-01,0
"Number","Intentional homicide","Diepholz",2010-01-01,1
"Number","Intentional homicide","Hameln-Pyrmont",2010-01-01,0
"Number","Intentional homicide","Hildesheim",2010-01-01,3
"Number","Intentional homicide","Holzminden",2010-01-01,1
"Number","Intentional homicide","Nienburg (Weser)",2010-01-01,1
"Number","Intentional homicide","Schaumburg",2010-01-01,4
"Number","Intentional homicide","Region Hannover",2010-01-01,9
"Number","Intentional homicide","Celle",2010-01-01,0
"Number","Intentional homicide","Cuxhaven",2010-01-01,4
"Number","Intentional homicide","Harburg",2010-01-01,1
"Number","Intentional homicide","Lüchow-Dannenberg",2010-01-01,0
"Number","Intentional homicide","Lüneburg, Landkreis",2010-01-01,2
"Number","Intentional homicide","Osterholz",2010-01-01,0
"Number","Intentional homicide","Rotenburg (Wümme)",2010-01-01,0
"Number","Intentional homicide","Heidekreis",2010-01-01,3
"Number","Intentional homicide","Stade",2010-01-01,0
"Number","Intentional homicide","Uelzen",2010-01-01,1
"Number","Intentional homicide","Verden",2010-01-01,2
"Number","Intentional homicide","Delmenhorst, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Emden, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Oldenburg (Oldenburg), Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Osnabrück, Kreisfreie Stadt",2010-01-01,5
"Number","Intentional homicide","Wilhelmshaven, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Ammerland",2010-01-01,1
"Number","Intentional homicide","Aurich",2010-01-01,2
"Number","Intentional homicide","Cloppenburg",2010-01-01,19
"Number","Intentional homicide","Emsland",2010-01-01,1
"Number","Intentional homicide","Friesland (DE)",2010-01-01,0
"Number","Intentional homicide","Grafschaft Bentheim",2010-01-01,0
"Number","Intentional homicide","Leer",2010-01-01,0
"Number","Intentional homicide","Oldenburg, Landkreis",2010-01-01,4
"Number","Intentional homicide","Osnabrück, Landkreis",2010-01-01,4
"Number","Intentional homicide","Vechta",2010-01-01,0
"Number","Intentional homicide","Wesermarsch",2010-01-01,1
"Number","Intentional homicide","Wittmund",2010-01-01,0
"Number","Intentional homicide","Nordrhein-Westfalen",2010-01-01,120
"Number","Intentional homicide","Düsseldorf, Kreisfreie Stadt",2010-01-01,5
"Number","Intentional homicide","Duisburg, Kreisfreie Stadt",2010-01-01,3
"Number","Intentional homicide","Essen, Kreisfreie Stadt",2010-01-01,3
"Number","Intentional homicide","Krefeld, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Mönchengladbach, Kreisfreie Stadt",2010-01-01,1
"Number","Intentional homicide","Mülheim an der Ruhr, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Oberhausen, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Remscheid, Kreisfreie Stadt",2010-01-01,2
"Number","Intentional homicide","Solingen, Kreisfreie Stadt",2010-01-01,0
"Number","Intentional homicide","Wuppertal, Kreisfreie Stadt",2010-01-01,5
